loading_data, 3.151454926
sending_initial,0.04137301445
builing_first_qt,2.282865047
forces,allgatherv,rebuilding
8.568286896,6.841871023,2.028185129
8.258751869,7.576457977,2.046331167
8.279662848,7.639726877,2.106265068
8.314874887,7.564222813,2.13526392
8.332545996,7.578524828,2.148779869
8.318079948,7.703766108,2.148190022
8.307154894,7.636489868,2.165799141
8.367829084,7.568929195,2.15876317
8.364323139,7.430987835,2.161820889
8.330594063,7.558811903,2.164745092
8.382958174,7.438232899,2.163626909
total_time,203.3055151
